track	rbp_name	chr	start	end	score	location
encRegTfbsClustered	ELF1	chr17	17691863	17692307	174	gene_body
encRegTfbsClustered	MTA2	chr17	17691865	17692388	1000	gene_body
encRegTfbsClustered	ZNF687	chr17	17691865	17692309	479	gene_body
encRegTfbsClustered	BMI1	chr17	17691883	17692323	194	gene_body
encRegTfbsClustered	MLLT1	chr17	17691886	17692462	80	gene_body
encRegTfbsClustered	SMAD1	chr17	17691890	17692274	431	gene_body
encRegTfbsClustered	CREM	chr17	17691891	17692251	167	gene_body
encRegTfbsClustered	MEF2C	chr17	17691896	17692180	1000	gene_body
encRegTfbsClustered	TBL1XR1	chr17	17691899	17692295	515	gene_body
encRegTfbsClustered	EP300	chr17	17691904	17692300	939	gene_body
encRegTfbsClustered	TBX21	chr17	17691906	17692641	380	gene_body
encRegTfbsClustered	IKZF2	chr17	17691906	17692331	1000	gene_body
encRegTfbsClustered	TCF12	chr17	17691906	17692259	431	gene_body
encRegTfbsClustered	EED	chr17	17691909	17692286	1000	gene_body
encRegTfbsClustered	BHLHE40	chr17	17691912	17692312	111	gene_body
encRegTfbsClustered	NFIC	chr17	17691918	17692576	747	gene_body
encRegTfbsClustered	EBF1	chr17	17691922	17692283	1000	gene_body
encRegTfbsClustered	MYB	chr17	17691924	17692248	509	gene_body
encRegTfbsClustered	POU2F2	chr17	17691925	17692235	323	gene_body
encRegTfbsClustered	ARID3A	chr17	17691932	17692282	792	gene_body
encRegTfbsClustered	PAX5	chr17	17691937	17692241	518	gene_body
encRegTfbsClustered	RUNX3	chr17	17691939	17692217	1000	gene_body
encRegTfbsClustered	ETS1	chr17	17691939	17692199	771	gene_body
encRegTfbsClustered	GATAD2B	chr17	17691964	17692603	1000	gene_body
encRegTfbsClustered	MEF2A	chr17	17691974	17692095	1000	gene_body
encRegTfbsClustered	SMARCA4	chr17	17691975	17692259	560	gene_body
encRegTfbsClustered	BATF	chr17	17691976	17692206	227	gene_body
encRegTfbsClustered	PKNOX1	chr17	17691978	17692158	50	gene_body
encRegTfbsClustered	BCL3	chr17	17691991	17692335	588	gene_body
encRegTfbsClustered	ATF2	chr17	17691991	17692178	908	gene_body
encRegTfbsClustered	FOXA1	chr17	17691994	17692278	228	gene_body
encRegTfbsClustered	ESR1	chr17	17691999	17692269	499	gene_body
encRegTfbsClustered	ATF7	chr17	17692005	17692258	182	gene_body
encRegTfbsClustered	FOXA2	chr17	17692006	17692262	269	gene_body
encRegTfbsClustered	BCL11A	chr17	17692012	17692217	1000	gene_body
encRegTfbsClustered	BACH1	chr17	17692013	17692369	322	gene_body
encRegTfbsClustered	RXRA	chr17	17692014	17692310	258	gene_body
encRegTfbsClustered	RB1	chr17	17692035	17692238	1000	gene_body
encRegTfbsClustered	DPF2	chr17	17692080	17692724	694	gene_body
encRegTfbsClustered	ZNF592	chr17	17692186	17692470	266	gene_body
encRegTfbsClustered	HDAC2	chr17	17692209	17692852	1000	gene_body
encRegTfbsClustered	HDAC1	chr17	17692237	17693013	489	gene_body
encRegTfbsClustered	ZNF217	chr17	17692239	17692699	797	gene_body
encRegTfbsClustered	KDM1A	chr17	17692240	17692834	1000	gene_body
encRegTfbsClustered	BRD9	chr17	17692247	17692687	364	gene_body
encRegTfbsClustered	SMARCA5	chr17	17692261	17692701	1000	gene_body
encRegTfbsClustered	ZNF143	chr17	17692274	17692698	354	gene_body
encRegTfbsClustered	NFXL1	chr17	17692280	17692584	825	gene_body
encRegTfbsClustered	ZNF444	chr17	17692290	17692746	195	gene_body
encRegTfbsClustered	RBM25	chr17	17692308	17692663	1000	gene_body
encRegTfbsClustered	BCOR	chr17	17692339	17692613	831	gene_body
encRegTfbsClustered	CHD4	chr17	17692367	17692811	938	gene_body
encRegTfbsClustered	ZMYM3	chr17	17692378	17692751	1000	gene_body
encRegTfbsClustered	ATF3	chr17	17692462	17693247	214	gene_body
encRegTfbsClustered	TCF12	chr17	17692482	17693046	311	gene_body
encRegTfbsClustered	FOSL2	chr17	17692506	17692910	245	gene_body
encRegTfbsClustered	SIX5	chr17	17692528	17692984	181	gene_body
encRegTfbsClustered	CTCF	chr17	17692536	17693212	506	gene_body
encRegTfbsClustered	REST	chr17	17692543	17693033	270	gene_body
encRegTfbsClustered	SP1	chr17	17692545	17693055	504	gene_body
encRegTfbsClustered	RCOR1	chr17	17692573	17692823	536	gene_body
encRegTfbsClustered	ZBTB33	chr17	17692585	17693049	254	gene_body
encRegTfbsClustered	GATA3	chr17	17692685	17693161	230	gene_body
encRegTfbsClustered	FOXA1	chr17	17692864	17693144	191	gene_body
encRegTfbsClustered	HNRNPL	chr17	17692871	17693772	351	gene_body
encRegTfbsClustered	MLLT1	chr17	17692908	17693213	132	gene_body
encRegTfbsClustered	PKNOX1	chr17	17693151	17693607	9	gene_body
encRegTfbsClustered	EZH2	chr17	17693159	17694123	270	gene_body
encRegTfbsClustered	MXI1	chr17	17693160	17694163	183	gene_body
encRegTfbsClustered	ZNF687	chr17	17693271	17693715	293	gene_body
encRegTfbsClustered	YY1	chr17	17693346	17694086	901	gene_body
encRegTfbsClustered	RBM39	chr17	17693354	17694506	631	gene_body
encRegTfbsClustered	POLR2A	chr17	17693354	17695504	1000	gene_body
encRegTfbsClustered	CTCF	chr17	17693405	17694560	255	gene_body
encRegTfbsClustered	SMC3	chr17	17693408	17693938	155	gene_body
encRegTfbsClustered	POLR2G	chr17	17693442	17695216	802	gene_body
encRegTfbsClustered	XRCC5	chr17	17693446	17693930	586	gene_body
encRegTfbsClustered	TFAP4	chr17	17693454	17693824	559	gene_body
encRegTfbsClustered	SP1	chr17	17693467	17693997	214	gene_body
encRegTfbsClustered	HDAC1	chr17	17693507	17694283	497	gene_body
encRegTfbsClustered	RAD21	chr17	17693514	17693941	141	gene_body
encRegTfbsClustered	SKI	chr17	17693515	17693965	142	gene_body
encRegTfbsClustered	EP300	chr17	17693518	17694034	206	gene_body
encRegTfbsClustered	TAF1	chr17	17693534	17695282	791	gene_body
encRegTfbsClustered	ASH2L	chr17	17693551	17695438	662	gene_body
encRegTfbsClustered	FOXA1	chr17	17693555	17693894	314	gene_body
encRegTfbsClustered	ZFX	chr17	17693570	17695586	357	gene_body
encRegTfbsClustered	TBP	chr17	17693578	17694342	198	gene_body
encRegTfbsClustered	CCAR2	chr17	17693580	17693976	832	gene_body
encRegTfbsClustered	FOXA2	chr17	17693591	17693847	381	gene_body
encRegTfbsClustered	STAT5A	chr17	17693600	17694196	466	gene_body
encRegTfbsClustered	MYC	chr17	17693602	17693906	431	gene_body
encRegTfbsClustered	ELF1	chr17	17693604	17693880	166	gene_body
encRegTfbsClustered	MLLT1	chr17	17693609	17694099	339	gene_body
encRegTfbsClustered	RXRA	chr17	17693614	17694058	131	gene_body
encRegTfbsClustered	PKNOX1	chr17	17693616	17694227	43	gene_body
encRegTfbsClustered	MBD2	chr17	17693665	17694041	295	gene_body
encRegTfbsClustered	HCFC1	chr17	17693685	17694125	40	gene_body
encRegTfbsClustered	RBM22	chr17	17693686	17694150	604	gene_body
encRegTfbsClustered	ZNF263	chr17	17693726	17694310	216	gene_body
encRegTfbsClustered	ATF3	chr17	17693735	17694660	327	gene_body
encRegTfbsClustered	ETS1	chr17	17693747	17694521	152	gene_body
encRegTfbsClustered	RFX5	chr17	17693786	17694146	38	gene_body
encRegTfbsClustered	HNRNPH1	chr17	17693808	17694228	242	gene_body
encRegTfbsClustered	NRF1	chr17	17693836	17694386	7	gene_body
encRegTfbsClustered	SUZ12	chr17	17693852	17694762	118	gene_body
encRegTfbsClustered	GATA3	chr17	17693871	17694070	1000	gene_body
encRegTfbsClustered	MEF2B	chr17	17693875	17694451	216	gene_body
encRegTfbsClustered	FOXA1	chr17	17693894	17694034	839	gene_body
encRegTfbsClustered	TCF12	chr17	17693930	17694494	381	gene_body
encRegTfbsClustered	CLOCK	chr17	17693938	17694358	344	gene_body
encRegTfbsClustered	GMEB1	chr17	17693945	17694521	64	gene_body
encRegTfbsClustered	TBL1XR1	chr17	17693951	17694347	431	gene_body
encRegTfbsClustered	EBF1	chr17	17693957	17694277	365	gene_body
encRegTfbsClustered	NBN	chr17	17693959	17694543	263	gene_body
